id,Grupo,Producto_Activo,Cve_Med,Cve_Med,ID_PRODUCTO,GPO,GPO1,ESP,DIF,VAR,CUADRO_BASICO_SAI,PROGRAMA_MEDICO,DESCRIPCION_ARTICULO,UNIDAD_PRESENTACION,CANTIDAD_PRESENTACION,TIPO_PRESENTACION,Unidades,Medida,tot_unidades,med,ANALGESIACOS_ANTIINFLAMATORIOS_ANTIRREUMATICOS,ANALGESICOS_OPIOIDES___,ANALGESICOS_ANTIPIRETICOS,ANESTESICOS_GENERATES,ANESTESICOS_LOCALES,ANSIOLITICOS,ANTIACIDOS,ANTIAGREGANTE_PLAQUETARIO,ANTIANEMICOS,ANTIANGINOSO,ANTIARRITMICOS,ANTIASMATICO__BRONCODILATADOR,ANTIBIOTICOS,ANTICONCEPTIVO_INTRAUTERINO,ANTIDEPRESIVOS,ANTIDIABETICOS,ANTIDIARREICOS,ANTIDOTOS,ANTIEMETICOS,ANTIEPILEPTICOS,ANTIESPASMODICO,ANTIFUNGICOS,ANTIGOTOSOS,ANTIHEMORRAGICOS,ANTIHISTAMINICOS,ANTIPARKINSONIANO,ANTIPSICOTICOS,ANTISEPTICOS_DESINFECTANTES,ANTITROMBITICO_TROMBOTICO_ANTIAGREGANTE,ANTITROMBOTICO_TROMBOLITICO,ANTITUSIVOS,ANTIULCEROSOS_PROTECTOR_GASTRICO,ANTIVIRALES,CARDIOTONICOS,CORTICOIDES,DIURETICOS_ANTIHIPERTENSIVOS,FACTOR_VITAMINICO,HIPNOTICO_SEDANTE,HIPOLIPEMIANTE,INDUCTOR_DEL_PARTO,INHIBIDOR_DEL_PARTO,INMUNOSUPRESORES,LAXANTES,MUCOLITICOS,OTROS_ANTIHIPERTENSIVOS,RELAJANTE_MUSCULAR,TERAPIA_TIROIDEA,TRATAMIENTO_TUBERCULOSIS,g1_ANALGESICOS,g2_ANESTESIA,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,GRUPO,ANALGESICOS_URINARIOS,ANTIAGREGANTES_PLAQUETARIOS,ANTIALERGICOS,ANTIANDROGENICOS,ANTIARRITMICOS,ANTICOAGULANTES_ORALES,ANTIDEPRESIVOS,ANTIFLAMATORIOS_ESTEROIDEOS,ANTIHIPERTENSIVOS,ANTIINFLAMATORIOS_NO_ESTEROIDEOS,ANTIMICOTICOS_SISTEMICOS_Y_TOPICOS,ANTIMUSCARINICOS,ANTINEURITICOS,ANTITUSIVOS,ANTIULCEROSOS_Y_PROTECTORES_DE_LA_MUCOSA_GASTRICA,ANTIURICOSURICOS,ANTIVERTIGINOSOS,BENZODIAZEPINAS,BLOQUEADORES_ALFA,BRONCODILATADORES_Y_EXPECTORANTES,DISFUNCION_ERECTIL,ELECTROLITOS_ORALES,FARMACOS_INSUFICIENCIA_CARDIACA_Y_ANTIANGINOSOS,FARMACOS_MODIFICADORES_DE_LA_ENFERMEDAD,FARMACOS_OCULARES,FARMACOS_UTILIZADOS_EN_CANCER_DE_MAMA,FARMACOS_UTILIZADOS_EN_HIPERTIROIDISMO,FARMACOS_UTILIZADOS_EN_HIPOTIROIDISMO,FARMACOS_UTILIZADOS_EN_NEFROLOGIA,FARMACOS_UTILIZADOS_EN_NEUROLOGIA,FARMACOS_UTILIZADOS_EN_OSTEOPOROSIS,FARMACOS_UTILIZADOS_EN_PSIQUIATRIA,FORMULAS_NUTRICIONALES_COMPLETAS,HIPOLIPEMIANTES,HORMONALES,METILXANTINAS,VARIOS,VITAMINICOS
230,Grupo Nº 1: Analgesia,IBUPROFENO,5943,5943,1000059430000,010,000,5943,00,00,SI,,IBUPROFENO. SUSPENSION ORAL. CADA 100 ML CONTIENEN: IBUPROFENO 2 G. ENVASE CON 120 ML Y MEDIDA DOSIFICADORA.,ENV,120,ML.,120,mililitros,120,mililitros,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,Grupo Nº 1: Analgesia,BUPRENORFINA,6038,6038,4000060380000,040,000,6038,00,00,SI,Sustantiva,BUPRENORFINA PARCHE CADA PARCHE CONTIENE: BUPRENORFINA 5 MG ENVASE CON 4 PARCHES. VELOCIDAD NOMINAL DE LIBERACION: 5 MICROGRAMOS/H (A TRAVES DE UN PERIODO DE 7 DIAS),ENV,4,PCH,5,microgramos,20,microgramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,Grupo Nº 1: Analgesia,BUPRENORFINA,6039,6039,4000060390000,040,000,6039,00,00,SI,Sustantiva,BUPRENORFINA PARCHE CADA PARCHE CONTIENE: BUPRENORFINA 10 MG ENVASE CON 4 PARCHES. VELOCIDAD NOMINAL DE LIBERACION: 10 MICROGRAMOS/H (A TRAVES DE UN PERIODO DE 7 DIAS),ENV,4,PCH,10,microgramos,40,microgramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,Grupo Nº 1: Analgesia,KETOROLACO,3422,3422,1000034220000,010,000,3422,00,00,SI,Sustantiva,KETOROLACO TROMETAMINA SOLUCION INYECTABLE CADA FRASCO AMPULA O AMPOLLETA CONTIENE: KETOROLACO-TROMETAMINA 30 MG ENVASE CON 3 FRASCOS AMPULA O 3 AMPOLLETAS DE 1 ML.,ENV,3,AFA,30,miligramos,90,miligramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANTIINFLAMATORIOS_NO_ESTEROIDEOS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,Grupo Nº 1: Analgesia,DEXTROPROPOXIFENO,107,0107,4000001070000,040,000,0107,00,00,SI,Sustantiva,DEXTROPROPOXIFENO CAPSULA O COMPRIMIDO CADA CAPSULA O COMPRIMIDO CONTIENE:  CLORHIDRATO DE DEXTROPROPOXIFENO 65 MG ENVASE CON 20 CAPSULAS O COMPRIMIDOS.,ENV,20,C.C,65,miligramos,1300,miligramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANTIINFLAMATORIOS_NO_ESTEROIDEOS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,Grupo Nº 1: Analgesia,NALBUFINA,132,0132,4000001320000,040,000,0132,00,00,NO,Sustantiva,NALBUFINA. SOLUCION INYECTABLE. CADA AMPOLLETA CONTIENE: CLORHIDRATO DE NALBUFINA 10 MG. ENVASE CON 3 AMPOLLETAS DE 1 ML.,CJA,3,AMP,10,miligramos,30,miligramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,Grupo Nº 1: Analgesia,NALBUFINA,132,0132,4000001320100,040,000,0132,01,00,SI,Sustantiva,NALBUFINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: CLORHIDRATO DE NALBUFINA  10 MG ENVASE CON 5 AMPOLLETAS DE 1 ML.,ENV,5,AMP,10,miligramos,50,miligramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,Grupo Nº 1: Analgesia,TRAMADOL-PARACETAMOL,2096,2096,4000020960000,040,000,2096,00,00,SI,"VALES,Sustantiva",TRAMADOL-PARACETAMOL. TABLETA. CADA TABLETA CONTIENE: CLORHIDRATO DE TRAMADOL 37.5 MG. PARACETAMOL 325.0 MG. ENVASE CON 20 TABLETAS.,ENV,20,TAB,362.5,miligramos,7250,miligramos,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANTIINFLAMATORIOS_NO_ESTEROIDEOS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,Grupo Nº 1: Analgesia,MORFINA,2099,2099,4000020990000,040,000,2099,00,00,SI,Cofepris - Sin CPM_V,MORFINA SOLUCION INYECTABLE CADA AMPOLLETA CONTIENE: SULFATO DE MORFINA  PENTAHIDRATADA 2.5 MG ENVASE CON 5 AMPOLLETAS CON 2.5 ML.,ENV,1,ENV,2.5,miligramos,2.5,miligramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,Grupo Nº 1: Analgesia,BUPRENORFINA,2100,2100,4000021000000,040,000,2100,00,00,SI,Sustantiva,BUPRENORFINA TABLETA SUBLINGUAL CADA TABLETA SUBLINGUAL CONTIENE: CLORHIDRATO  DE BUPRENORFINA EQUIVALENTE A 0.2 MG DE BUPRENORFINA. ENVASE CON 10 TABLETAS.,ENV,10,TAB,0.25,MG,2.5,MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
